ID,TITLE,FACTION,TYPE,THREAT,RARITY,CARD TEXT,NOTES,TYPE 2,DATE ADDED,PRINT,IMAGE,card_background,Action Title,Creature Title,Attachment Title,Scheme Title,Captain Title,Nickname,COLOR,FACTION style,TYPE style,Nickname
accepting_philosophy,Accepting Philosophy,Blistered,Action,,,"{b: Enter:} If your opponent plays any Creatures on their next turn, they are discarded instead.",,,,Y,accepting_philosophy.png,bg_blistered.png,Accepting Philosophy,,,,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],accepting_philosophy
cleanse_by_flame,Cleanse By Flame,Blistered,Action,,,"{b: Enter:} Deal 2 damage to each creature.
For each non-Blistered creature destroyed this way, its controller loses 1 $secret.",,,,Y,cleanse_by_flame.png,bg_blistered.png,Cleanse By Flame,,,,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],cleanse_by_flame
fire_sale,Fire Sale,Blistered,Action,,,"{b: Enter:} Burn 2 creatures from your discard. If you do, gain 3 Secrets.",,,,Y,fire_sale.png,bg_blistered.png,Fire Sale,,,,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],fire_sale
repurposed_fate,Repurposed Fate,Blistered,Action,,,"{b: Enter:} Burn a friendly creature in play. If you do, draw up to 2 cards.",,,,Y,repurposed_fate.png,bg_blistered.png,Repurposed Fate,,,,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],repurposed_fate
soul_extraction,Soul Extraction,Blistered,Action,,,"{b: Enter:} Burn a card from your hand. If you do, search one of your Paths for a card and add it to your hand. Shuffle that Path.",,,,Y,soul_extraction.png,bg_blistered.png,Soul Extraction,,,,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],soul_extraction
acolyte_conversion,Acolyte Conversion,Blistered,Attachment,,,"The attached creature gains:
This creature also belongs to faction Blistered.",,,,Y,acolyte_conversion.png,bg_blistered.png,,,Acolyte Conversion,,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],acolyte_conversion
cult_leader,Cult Leader,Blistered,Captain,3,,{b: Enter:} Gain 1 $secret for every 3 creatures in all discard and burn piles.,,,,Y,cult_leader.png,bg_blistered.png,,,,,Cult Leader,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],cult_leader
blood_oathkeeper,Blood Oathkeeper,Blistered,Creature,3,,{b: Gather:} Deal 1 damage to another friendly creature. Alert and Fight with that creature.,,,,Y,blood_oathkeeper.png,bg_blistered.png,,Blood Oathkeeper,,,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],blood_oathkeeper
bloodsoaker,Bloodsoaker,Blistered,Creature,4,,"While this creature is Alert, damage dealt to friendly Exposed creatures in a fight is dealt to this creature instead.","Maybe too op, felt bad",,,Y,bloodsoaker.png,bg_blistered.png,,Bloodsoaker,,,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],bloodsoaker
charles_burns,Charles Burns,Blistered,Creature,3,,"During your opponent's Alert step, creatures they Alert take 1 damage. They may choose to leave any number of their creatures Exposed instead.",,,,Y,charles_burns.png,bg_blistered.png,,Charles Burns,,,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],charles_burns
faithful_missionary,Faithful Missionary,Blistered,Creature,3,,{b: Action:} Move all $secret on a creature to your pool. Burn Faithful Missionary.,,,3/12/2026,Y,faithful_missionary.png,bg_blistered.png,,Faithful Missionary,,,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],faithful_missionary
hooded_figure,Hooded Figure,Blistered,Creature,2,,"{b: Enter:} Draw a card.

{b: Gather:} Shuffle a creature from your discard pile into an Open Path.",,,,Y,hooded_figure.png,bg_blistered.png,,Hooded Figure,,,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],hooded_figure
rite_influencer,Rite Influencer,Blistered,Creature,2,,"{b: Gather:} Discard a creature from your hand. If you do, gain 1 $secret.",,,,Y,rite_influencer.png,bg_blistered.png,,Rite Influencer,,,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],rite_influencer
voluntary_tribute,Voluntary Tribute,Blistered,Creature,1,,"{b: Action:} Return this card to your hand.

{b: Trap:} If a Captain would be captured in this Raid, Burn this card instead.",,Trap,,Y,voluntary_tribute.png,bg_blistered.png,,Voluntary Tribute,,,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],voluntary_tribute
backfire,Backfire,Blistered,Scheme,,,{b: Before Raid:} Your opponent Burns 2 random cards from their hand.,,,,Y,backfire.png,bg_blistered.png,,,,Backfire,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],backfire
ethereal_trust,Ethereal Trust,Blistered,Scheme,,,"At the end of each turn, the active player loses all but 3 of their $secret.

{b: After Raid:} Destroy this Scheme.",PRE PATH SCHEME NEEDS UPDATING,,,Y,ethereal_trust.png,bg_blistered.png,,,,Ethereal Trust,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],ethereal_trust
fatal_influence,Fatal Influence,Blistered,Scheme,,,"Before Plotting, your opponent must Burn a card from their hand matching the direction they intend to Plot.",,,,Y,fatal_influence.png,bg_blistered.png,,,,Fatal Influence,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],fatal_influence
satanic_carvings,Satanic Carvings,Blistered,Scheme,,,"Your opponent’s Plot cost is increased by 2.
When they Plot, they may destroy any number of creatures they control. They pay 1 fewer $secret for each creature destroyed this way.
Destroy this Scheme after they Plot.",PRE PATH SCHEME NEEDS UPDATING,,,Y,satanic_carvings.png,bg_blistered.png,,,,Satanic Carvings,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],satanic_carvings
false_lead,False Lead,Criminals,Action,,,{b: Enter:} Your opponent loses 2 $secret.,,,,Y,false_lead.png,bg_criminals.png,False Lead,,,,,,$criminals_color,$bg[$criminals_color],$bg[$criminals_color],false_lead
foundational_implosion,Foundational Implosion,Criminals,Action,,,"{b: Enter:} Choose 2 open Paths controlled by the same player. Shuffle them together, then split the cards as evenly as possible back into 2 Paths. Burn this card.",,,,Y,foundational_implosion.png,bg_criminals.png,Foundational Implosion,,,,,,$criminals_color,$bg[$criminals_color],$bg[$criminals_color],foundational_implosion
no_detours,No Detours,Criminals,Action,,,{b: Enter:} Your opponent cannot play cards that are not Aligned on their next turn.,WIP name,,,Y,no_detours.png,bg_criminals.png,No Detours,,,,,,$criminals_color,$bg[$criminals_color],$bg[$criminals_color],no_detours
premeditation,Premeditation,Criminals,Action,,,{b: Enter:} Look at your opponent's hand.,,,3/11/2026,Y,premeditation.png,bg_criminals.png,Premeditation,,,,,,$criminals_color,$bg[$criminals_color],$bg[$criminals_color],premeditation
